"","","","",""
"","TỔNG HỢP GIÁ  NVL VÀNG/BẠC CÁC THÁNG ","","",""
"","","","",""
"THÁNG PHÁT SINH","ĐƠN GIÁ VÀNG
(VND/lượng)","ĐƠN GIÁ BẠC
(VND/lượng)","GIÁ USD",""
"Tổng Tháng 1/2024","","","",""
"Tổng Tháng 2/2024","","","","Lấy giá mua vào tháng 1 năm 2024"
"Tổng Tháng 3/2024","","","","Lấy giá mua vào tháng 1 năm 2024"
"Tổng Tháng 4/2024","","","","Lấy giá mua vào tháng 1 năm 2024"
"Tổng Tháng 5/2024","","","","Lấy giá mua vào tháng 1 năm 2024"
"Tổng Tháng 6/2024","","","","Lấy giá mua vào tháng 1 năm 2024"
"Tổng Tháng 7/2024","","","","Lấy giá mua vào tháng 1 năm 2024"
"Tổng Tháng 8/2024","","","",""
"","","","",""
